team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
SEA,Seahawks,1388354553,Mac Thompson,QB,QB,97,3,1388354553,553386429,MEGA,Seahawks,2026-04-16 20:25:14.425796,False,False,6474,False,,False,False,24,2,2,1955,Penn State,29,1,Mac,Mac Thompson,Mac Thompson,7740,77,38,PLACEHOLDER,0,97,True,False,False,False,17,Thompson,5591,10317,2019,97,97,22,2026,2,0,97,233,2,4020000,2010000,4020000,8040000,4,7640000,2,0,0,0,0,97,0,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Escape Artist', 'startActivated': False, 'signatureLogoId': 1134, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The slipperiest quarterbacks are capable of exploding out of the pocket at the slightest sign of trouble. When they enter the zone, their scramble speed is increased.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Scramble for 10+ yards', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Anchored Extender', 'startActivated': False, 'signatureLogoId': 1172, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to break the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Quick Draw', 'startActivated': False, 'signatureLogoId': 1340, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have faster passing animations when they are throwing under pressure', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",81,77,90,50,80,68,70,80,72,84,24,42,48,34,38,36,38,31,81,92,97,12,97,86,99,93,94,54,67,43,62,48,65,39,55,55,59,85,45,31,45,26,42,44,35,39,45,35,37,42,36,42,28,38,31,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381828,Kenneth Walker III,HB,RB,96,3,1313381828,553388761,MEGA,Seahawks,2026-04-16 20:25:14.437496,False,False,1987,False,,False,False,27,20,10,2000,Michigan State,9,2,Kenneth,Kenneth Walker III,Kenneth Walker III,10079,69,41,Arlington,0,97,True,False,False,False,9,Walker III,4650,2005,22338,96,96,24,2024,0,0,96,211,6,9490000,3290000,12400000,25630000,5,14250000,2,0,0,0,0,96,93,0,94,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matchup Nightmare', 'startActivated': False, 'signatureLogoId': 1157, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability make sharper cuts and frequently win contested catches when covered by linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Spin Cycle', 'startActivated': False, 'signatureLogoId': 1198, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",95,92,90,50,84,83,94,90,81,92,35,31,30,34,54,30,23,33,28,11,15,35,20,18,27,11,22,95,91,67,95,46,95,73,87,82,90,93,48,41,47,54,45,10,32,33,12,15,10,15,38,36,18,12,15,0,3,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381830,Jaxon Smith-Njigba,WR,WR,90,1,1313381830,553388463,MEGA,Seahawks,2026-04-16 20:25:14.436292,False,False,906,False,,False,False,26,14,2,2002,Ohio State,20,1,Jaxon,Jaxon Smith-Njigba,Jaxon SmithNjigba,16112,73,42,Rockwall,0,97,True,False,False,False,11,Smith-Njigba,381,2401,22694,90,90,24,2022,3,0,85,200,5,22180000,9820000,49440000,63670000,7,73510000,5,0,0,0,0,85,89,0,75,[],[],92,94,92,50,87,86,91,85,63,82,48,31,22,24,31,27,30,53,18,6,10,27,15,10,29,16,6,87,83,96,79,89,84,70,74,61,48,92,87,86,90,88,93,10,20,25,16,17,10,10,27,24,14,11,16,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313382097,Jordan Addison,WR,WR,89,1,1313382097,553386000,MEGA,Seahawks,2026-04-16 20:25:14.423838,False,False,742,False,,False,False,26,27,1,2002,USC,23,1,Jordan,Jordan Addison,Jordan Addison,5450,71,19,Frederick,0,97,True,False,False,False,86,Addison,130,813,22693,89,89,0,2022,3,0,80,175,5,8300000,8300000,0,0,2,15600000,1,0,0,0,0,80,86,0,75,[],[],92,88,93,50,90,84,90,88,52,84,36,18,15,13,27,26,19,42,42,32,39,27,47,47,58,38,40,91,75,95,78,89,91,76,80,47,32,92,80,89,88,89,90,22,31,30,28,27,14,29,47,37,34,17,23,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381811,Elijah Arroyo,TE,TE,88,0,1313381811,553386080,MEGA,Seahawks,2026-04-16 20:25:14.424358,False,False,746,False,,False,False,25,5,4,2003,Miami,18,2,Elijah,Elijah Arroyo,Elijah Arroyo,8083,77,42,Frisco,0,97,True,False,False,False,18,Arroyo,408,10479,15119,88,88,0,2025,0,0,87,254,3,2290000,1690000,600000,2400000,4,4730000,1,0,0,0,0,87,80,0,98,[],[],90,80,68,50,83,83,87,81,77,85,68,53,60,61,64,63,65,64,39,38,49,14,59,45,50,42,47,85,78,93,74,94,76,36,68,69,73,70,83,73,88,78,88,29,33,32,46,37,29,23,30,30,40,18,35,0,0,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313380379,David Njoku,TE,TE,86,1,1313380379,553387939,MEGA,Seahawks,2026-04-16 20:25:14.434385,False,False,173,False,,False,False,32,10,7,1996,Miami,29,1,David,David Njoku,David Njoku,57423,76,29,Cedar Grove,0,97,True,False,False,False,83,Njoku,3492,8674,12532,86,86,24,2019,6,0,83,246,11,15520000,5420000,20200000,40400000,5,27180000,2,0,0,0,0,83,79,0,94,[],[],85,81,88,50,83,95,84,88,72,78,65,51,58,63,66,65,54,63,12,6,10,12,15,10,13,10,6,82,75,88,77,82,78,40,72,77,71,73,82,74,77,79,87,10,15,42,26,13,10,10,37,36,23,19,15,0,1,0,0,0,0,,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381829,Charles Cross,LT,OL,86,1,1313381829,553386539,MEGA,Seahawks,2026-04-16 20:25:14.426923,False,False,497,False,,False,False,27,25,11,2000,Mississippi State,9,1,Charles,Charles Cross,Charles Cross,11037,77,23,Laurel,0,97,True,False,False,False,67,Cross,1199,1318,22437,86,86,24,2024,4,0,83,311,6,18420000,6420000,48000000,77060000,7,48500000,5,0,0,0,0,83,82,0,99,[],[],75,56,92,50,91,75,74,88,84,81,82,83,91,86,89,83,75,80,14,6,6,40,6,6,23,9,6,12,18,20,25,14,10,10,10,20,15,60,12,5,10,15,15,10,30,22,10,21,10,10,28,25,10,14,19,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381796,Grey Zabel,LG,OL,85,1,1313381796,553389011,MEGA,Seahawks,2026-04-16 20:25:14.438900,False,False,469,False,,False,False,26,30,3,2002,North Dakota State,18,1,Grey,Grey Zabel,Grey Zabel,1370,78,40,Pierre,0,97,True,False,False,False,76,Zabel,989,10792,4601,85,85,0,2025,4,0,85,312,3,4680000,2750000,1930000,7720000,4,6910000,1,0,0,0,0,85,86,0,99,[],[],79,62,85,50,91,84,74,89,88,87,88,86,90,79,90,86,75,83,11,6,6,22,6,6,17,14,6,15,9,24,25,10,10,10,9,17,21,61,14,5,5,12,15,17,26,25,10,20,19,10,27,30,10,14,17,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381770,Rashid Shaheed,WR,WR,83,1,1313381770,553388364,MEGA,Seahawks,2026-04-16 20:25:14.435375,False,False,248,False,,False,False,30,31,8,1998,Weber State,-1,63,Rashid,Rashid Shaheed,Rashid Shaheed,5429,72,4,San Diego,0,97,True,False,False,False,87,Shaheed,3059,4928,22666,83,83,0,2024,5,0,71,180,6,13880000,6580000,7300000,21900000,3,17400000,1,0,0,0,0,71,89,0,75,[],[],95,90,84,50,85,87,93,84,60,76,31,16,15,16,33,12,17,39,22,10,15,35,22,21,28,11,10,88,79,90,77,79,88,88,76,35,41,91,71,90,81,80,81,14,19,23,25,17,15,15,32,25,30,17,19,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,Seahawks,1313381809,Tory Horton,WR,WR,83,1,1313381809,553387193,MEGA,Seahawks,2026-04-16 20:25:14.430445,False,False,545,False,,False,False,25,29,11,2002,Colorado State,30,5,Tory,Tory Horton,Tory Horton,596,75,4,Fresno,0,97,True,False,False,False,15,Horton,146,10594,15064,83,83,0,2025,0,0,81,196,3,1210000,1140000,70000,280000,4,3830000,1,0,0,0,0,81,90,0,75,[],[],94,88,75,50,83,88,93,85,68,84,48,31,14,21,28,24,24,53,19,12,19,33,27,16,31,26,28,84,76,85,73,91,80,79,76,61,54,89,86,86,84,83,92,27,31,31,50,32,26,24,33,39,37,23,24,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
