team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
SF,49ers,1313380093,Brock Purdy,QB,QB,96,3,1313380093,553388147,MEGA,49ers,2026-04-16 20:25:09.675065,False,False,3554,False,,False,False,28,27,12,1999,Iowa State,41,7,Brock,Brock Purdy,Brock Purdy,15812,73,2,Gilbert,0,97,True,False,False,False,13,Purdy,2423,1899,22383,96,96,24,2024,2,0,96,220,6,25310000,1170000,64420000,105320000,6,154020000,3,0,0,0,0,96,0,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Truzz', 'startActivated': False, 'signatureLogoId': 1245, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The most effective ball carriers prioritize maintaining possession over all else. When they enter the zone, no tackles made against them will result in a fumble.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Rush for 1+ yards', 'signatureDeactivationDescription': ""Don't get tackled for loss""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Gutsy Scrambler', 'startActivated': False, 'signatureLogoId': 1218, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have a reduced chance to be impacted by throw penalties caused by defensive pressure while on the run', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Inside Deadeye', 'startActivated': False, 'signatureLogoId': 1146, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws inside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tight Out', 'startActivated': False, 'signatureLogoId': 1353, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability improve the catching prowess of all tight ends who are open on pass plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Sleight of Hand', 'startActivated': False, 'signatureLogoId': 1195, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have an increased success rate when using pump fakes on double-move routes against zone coverage.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pocket Deadeye', 'startActivated': False, 'signatureLogoId': 1167, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all unpressured throws while their feet are set in the pocket (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,81,98,50,90,70,78,89,63,85,24,18,14,10,13,16,12,19,80,95,97,78,98,97,86,96,98,81,66,24,64,12,66,10,65,30,51,77,13,10,11,12,15,10,13,18,10,14,10,10,28,25,12,21,22,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1388353051,Robbie Franklin,RG,OL,92,2,1388353051,553388791,MEGA,49ers,2026-04-16 20:25:09.677089,False,False,2021,False,,False,False,24,23,11,1999,Oklahoma State,17,1,Robbie,Robbie Franklin,Robbie Franklin,4743,76,45,PLACEHOLDER,0,97,True,False,False,False,72,Franklin,558,4135,2228,92,92,22,2026,2,0,79,345,2,4850000,2250000,5200000,10400000,4,8560000,2,0,0,0,0,79,91,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Nasty Streak', 'startActivated': False, 'signatureLogoId': 1233, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will frequently attempt and win impact blocks against linebackers and defensive backs when playing as a lineman or fullback.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Matador', 'startActivated': False, 'signatureLogoId': 1331, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability have stronger protection against dominant bull rush moves attempted by defenders', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",83,68,86,50,78,66,63,79,92,83,98,97,66,89,89,79,93,95,42,32,21,10,26,20,27,36,41,27,47,40,54,37,45,41,38,26,33,55,40,47,24,41,41,36,39,38,33,40,28,42,34,32,46,41,29,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380056,Christian McCaffrey,HB,RB,90,3,1313380056,553387697,MEGA,49ers,2026-04-16 20:25:09.674163,False,False,602,False,,False,False,32,7,6,1996,Stanford,8,1,Christian,Christian McCaffrey,Christian McCaffrey,26637,71,5,Castle Rock,0,97,True,False,False,False,23,McCaffrey,7724,8655,12556,90,90,24,2019,4,0,89,205,11,8550000,2050000,32500000,34300000,6,36960000,5,0,0,0,0,89,89,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Ankle Breaker', 'startActivated': False, 'signatureLogoId': 1305, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Truly devastating receiving threats are the ones that catch and can't be caught. When they enter the zone, they have increased fakeout rates on spin/juke/hurdle after the catch."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make 20+ yard receptions', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Backfield Mismatch', 'startActivated': False, 'signatureLogoId': 1120, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running backs with this ability have better catch in traffic and route running when coming out of the backfield against linebackers and linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Evasive', 'startActivated': False, 'signatureLogoId': 1222, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke and spin animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Leap Frog', 'startActivated': False, 'signatureLogoId': 1152, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will hold onto the ball if tackled during a hurdle', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,92,94,50,81,90,89,93,74,94,45,47,32,36,64,22,22,38,38,33,41,40,45,47,52,37,31,87,92,83,91,71,89,88,82,81,65,91,74,67,75,81,75,10,27,32,12,27,10,15,44,36,17,23,29,0,3,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380057,George Kittle,TE,TE,88,2,1313380057,553387484,MEGA,49ers,2026-04-16 20:25:09.672608,False,False,97,False,,False,False,34,9,10,1993,Iowa,2,5,George,George Kittle,George Kittle,37023,76,48,Madison,0,97,True,False,False,False,85,Kittle,6748,8622,12836,88,88,24,2019,3,0,88,250,11,18820000,12730000,9750000,47410000,5,39970000,2,0,0,0,0,88,82,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short In Elite', 'startActivated': False, 'signatureLogoId': 1345, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,81,90,50,85,85,86,94,81,98,78,65,58,62,62,70,73,73,18,10,15,25,20,10,30,14,10,86,75,88,75,77,79,31,61,78,83,75,79,76,80,80,84,18,38,31,15,35,20,20,36,34,24,22,19,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380062,Dominick Puni,LT,OL,85,1,1313380062,553388146,MEGA,49ers,2026-04-16 20:25:09.674844,False,False,425,False,,False,False,28,24,2,2000,Kansas,23,3,Dominick,Dominick Puni,Dominick Puni,3842,77,24,St. Charles,0,97,True,False,False,False,77,Puni,439,10217,14713,85,85,24,2023,0,0,80,320,4,19480000,7000000,62400000,62630000,7,59250000,6,0,0,0,0,80,87,0,99,[],[],64,68,83,50,91,74,61,85,91,88,88,91,77,87,81,88,89,93,19,13,21,43,22,12,24,11,13,32,31,44,43,22,24,5,23,34,33,63,19,15,21,22,21,31,53,42,9,38,33,7,39,46,9,21,19,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380060,Ricky Pearsall,WR,WR,85,2,1313380060,553388059,MEGA,49ers,2026-04-16 20:25:09.674627,False,False,576,False,,False,False,27,9,9,2000,Florida,31,1,Ricky,Ricky Pearsall,Ricky Pearsall,3922,73,2,Chandler,0,97,True,False,False,False,1,Pearsall,12,10206,14657,85,85,24,2023,0,0,83,191,4,9910000,3430000,32400000,33800000,7,31160000,6,0,0,0,0,83,90,0,80,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Steamroller', 'startActivated': False, 'signatureLogoId': 1949, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability retain more of their forward momentum during tackles while travelling at high speeds.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Runoff Elite', 'startActivated': False, 'signatureLogoId': 1392, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will distract defenders for longer with their runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",91,92,84,50,90,95,92,86,61,85,42,25,19,21,31,27,20,48,30,39,47,20,47,40,52,36,31,85,74,90,75,89,82,79,72,52,47,92,83,85,87,83,90,11,15,24,16,17,11,16,30,24,20,22,23,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1388353052,Hugh McAllister,TE,TE,83,0,1388353052,553388782,MEGA,49ers,2026-04-16 20:25:09.676763,False,False,947,False,,False,False,23,12,9,1986,Utah,17,2,Hugh,Hugh McAllister,Hugh McAllister,7687,77,32,PLACEHOLDER,0,97,True,False,False,False,87,McAllister,4,3404,2354,83,83,24,2026,4,0,82,242,2,2300000,1500000,1600000,3200000,4,5800000,2,0,0,0,0,82,78,0,96,[],[],88,82,76,50,79,84,85,89,76,83,60,53,59,62,60,61,62,67,36,22,18,17,15,32,34,32,26,86,72,84,76,87,75,45,70,71,71,84,74,69,78,81,82,47,36,30,37,44,46,32,35,36,32,39,48,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380083,Jauan Jennings,WR,WR,82,1,1313380083,553387316,MEGA,49ers,2026-04-16 20:25:09.672383,False,False,214,False,,False,False,31,10,7,1997,Tennessee,3,7,Jauan,Jauan Jennings,Jauan Jennings,2896,75,41,Murfreesboro,0,97,True,False,False,False,15,Jennings,473,391,21073,82,82,24,2022,0,0,76,212,8,12300000,5900000,12800000,29350000,5,22900000,2,0,0,0,0,76,86,0,92,[],[],87,78,89,50,88,95,88,84,78,79,59,45,20,25,34,40,40,67,51,45,51,25,56,51,68,48,42,86,84,92,73,88,78,33,69,78,66,76,82,77,83,83,89,10,31,30,11,14,10,21,33,30,17,17,18,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380067,Jordan James,HB,RB,81,1,1313380067,553387292,MEGA,49ers,2026-04-16 20:25:09.671887,False,False,640,False,,False,False,24,29,3,2004,Oregon,9,5,Jordan,Jordan James,Jordan James,5840,70,41,Nashville,0,97,True,False,False,False,29,James,26,10609,15048,81,81,0,2025,0,0,81,208,3,1220000,1140000,80000,320000,4,3780000,1,0,0,0,0,81,89,0,96,[],[],92,85,75,50,93,80,89,84,73,87,33,28,37,38,48,25,28,34,16,8,25,23,14,22,20,21,31,85,91,62,93,58,87,78,88,78,85,84,49,48,54,59,55,30,30,33,20,28,27,22,35,34,28,14,17,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SF,49ers,1313380896,James Daniels,C,OL,81,1,1313380896,553386562,MEGA,49ers,2026-04-16 20:25:09.668532,False,False,179,False,,False,False,30,13,9,1997,Iowa,7,2,James,James Daniels,James Daniels,8808,76,34,Warren,0,97,True,False,False,False,60,Daniels,1036,8859,13137,81,81,0,2020,4,0,78,327,10,10700000,5300000,5400000,5400000,1,5300000,1,0,0,0,0,78,85,0,99,[],[],66,72,89,50,86,75,66,89,86,82,89,81,74,82,82,83,82,86,12,6,6,24,6,6,26,10,6,15,8,20,28,15,10,10,10,10,21,58,12,5,5,10,12,10,29,26,12,10,10,10,28,28,12,14,15,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
