team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
TEN,Titans,1313382012,Kevin Winston Jr.,SS,S,90,1,1313382012,553388942,MEGA,Titans,2026-04-16 20:25:18.760750,False,False,1706,False,,False,False,24,2,12,2003,Penn State,18,3,Kevin,Kevin Winston Jr.,Kevin Winston Jr,607,74,19,Columbia,0,97,True,False,False,False,23,Winston Jr.,1085,10787,15361,90,90,0,2025,0,0,84,213,3,1750000,1500000,250000,1000000,4,4500000,1,0,0,0,0,84,86,0,99,[],[],94,84,79,50,87,86,89,84,64,89,55,25,35,35,35,35,35,35,14,6,6,30,6,6,24,12,6,71,56,68,62,52,65,79,64,51,52,81,21,12,14,24,59,36,87,64,71,89,35,70,92,90,88,17,20,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382010,Oluwafemi Oladejo,LEDGE,DE,90,2,1313382010,553387988,MEGA,Titans,2026-04-16 20:25:18.753626,False,False,1724,False,,False,False,24,20,9,2003,UCLA,20,2,Oluwafemi,Oluwafemi Oladejo,Oluwafemi Oladejo,6710,75,4,Elk Grove,0,97,True,False,False,False,7,Oladejo,487,10683,15180,90,90,0,2025,0,0,90,261,3,2200000,1650000,550000,2200000,4,4700000,1,0,0,0,0,90,85,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Committed', 'startActivated': False, 'signatureLogoId': 1380, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will dominantly win run blocks when they correctly use the Guess Play adjustment to predict a run. Incorrect guesses will result in a loss.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,83,89,50,90,86,85,83,82,90,81,23,45,45,45,45,45,45,13,10,15,30,20,10,26,15,6,40,32,55,51,47,37,28,31,38,32,74,16,5,10,17,47,85,91,80,49,82,95,41,93,90,57,24,27,0,2,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1388354749,Julius Cross,DT,DT,88,3,1388354749,553387595,MEGA,Titans,2026-04-16 20:25:18.751361,False,False,1400,False,,False,False,24,7,10,1977,Iowa State,32,1,Julius,Julius Cross,Julius Cross,3875,73,19,PLACEHOLDER,0,97,True,False,False,False,70,Cross,59,10328,2128,88,88,22,2026,10,0,87,297,2,3750000,1930000,3640000,7280000,4,7360000,2,0,0,0,0,87,85,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reinforcement', 'startActivated': False, 'signatureLogoId': 1110, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""The game's top defenders excel in all situations. When they enter the zone, this ability increases their chance of defeating run blocks, and disrupting catches via tackles."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': ""Force incompletions or TFL's"", 'signatureDeactivationDescription': ""Don't allow yards""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Stuff', 'startActivated': False, 'signatureLogoId': 1247, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability use faster run shed moves for a better chance at shedding blocks within 5 yards of the goal line.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Mr. Big Stop', 'startActivated': False, 'signatureLogoId': 1336, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will start 3rd or 4th down with increased fatigue replenishment', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",83,74,81,50,90,74,74,95,91,79,84,30,43,34,35,27,48,42,43,31,14,16,28,18,34,36,45,39,28,31,53,36,39,37,29,41,48,62,46,43,45,40,32,88,83,86,44,84,93,32,90,93,32,43,46,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382032,DeMarvion Overshown,WILL,LB,88,2,1313382032,553388019,MEGA,Titans,2026-04-16 20:25:18.753850,False,False,672,False,,False,False,28,13,8,2000,Texas,27,3,DeMarvion,DeMarvion Overshown,DeMarvion Overshown,8066,74,42,Arp,0,97,True,False,False,False,52,Overshown,5067,2344,22997,88,88,24,2022,12,0,88,220,5,8710000,3210000,16500000,22000000,5,15480000,3,0,0,0,0,88,84,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Form Tackler', 'startActivated': False, 'signatureLogoId': 1948, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have a larger timing window for landing Perfect Hit Sticks', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Crusher', 'startActivated': False, 'signatureLogoId': 1386, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will cause heavy fatigue penalties when tackling a ballcarrier with a hit-stick tackle.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,78,87,50,86,87,88,88,64,82,67,40,35,35,35,40,40,40,18,6,6,24,6,6,22,15,6,65,51,66,59,63,66,10,60,52,45,72,34,27,33,38,66,67,90,74,85,87,52,65,92,91,81,16,18,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382000,T'Vondre Sweat,DT,DT,86,1,1313382000,553388558,MEGA,Titans,2026-04-16 20:25:18.757026,False,False,497,False,,False,False,27,11,7,2001,Texas,6,2,T'Vondre,T'Vondre Sweat,TVondre Sweat,1028,77,42,Huntsville,0,97,True,False,False,False,93,Sweat,250,10258,14760,86,86,24,2023,0,0,86,366,4,18320000,7820000,42000000,42920000,5,39920000,4,0,0,0,0,86,82,0,99,[],[],70,67,79,50,90,66,63,70,94,86,88,25,40,40,40,45,45,45,13,7,10,30,13,6,22,15,6,45,39,47,44,41,38,10,30,55,50,45,12,3,5,10,43,72,89,89,24,82,67,20,85,95,28,23,24,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382041,Kayvon Thibodeaux,REDGE,DE,85,1,1313382041,553388603,MEGA,Titans,2026-04-16 20:25:18.757865,False,False,482,False,,False,False,27,15,12,2000,Oregon,5,1,Kayvon,Kayvon Thibodeaux,Kayvon Thibodeaux,5456,77,4,S. Central Los Angeles,0,97,True,False,False,False,99,Thibodeaux,1054,1973,22139,85,85,24,2024,11,0,83,258,6,14990000,6490000,25500000,34000000,5,28500000,3,0,0,0,0,83,87,0,99,[],[],90,84,79,50,91,87,88,84,81,85,85,21,45,45,45,45,45,45,17,6,6,26,10,6,22,13,6,37,23,46,48,38,38,10,31,36,34,72,30,19,23,26,40,89,85,89,51,81,85,43,88,84,58,17,15,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382023,L'Jarius Sneed,CB,CB,84,2,1313382023,553388469,MEGA,Titans,2026-04-16 20:25:18.756355,False,False,282,False,,False,False,31,21,1,1997,LA. Tech,32,4,L'Jarius,L'Jarius Sneed,LJarius Sneed,27184,73,17,Minden,0,97,True,False,False,False,38,Sneed,3030,579,21351,84,84,24,2022,20,0,83,192,8,12150000,4650000,15000000,19050000,3,26400000,2,0,0,0,0,83,90,0,97,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Acrobat', 'startActivated': False, 'signatureLogoId': 1105, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are more likely to succeed at and attempt diving catches and swats.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Pick Artist', 'startActivated': False, 'signatureLogoId': 1165, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability have higher chance to catch uncontested interceptions, and they have unlimited stamina on the return (until using a special move or breaking a tackle).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,87,86,50,88,93,94,95,60,82,59,19,35,35,25,35,35,18,14,6,6,19,6,6,27,15,6,78,60,78,68,58,82,70,80,48,50,85,22,33,26,30,70,46,76,58,76,83,35,93,77,61,85,24,22,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1388355864,Stephon Elam,CB,CB,82,0,1388355864,553389045,MEGA,Titans,2026-04-16 20:25:18.761459,False,False,663,False,,False,False,24,26,16,1963,Colorado,10,1,Stephon,Stephon Elam,Stephon Elam,5002,75,48,PLACEHOLDER,0,97,True,False,False,False,27,Elam,47,3755,2451,82,82,24,2027,12,0,81,193,1,6440000,2440000,12000000,16000000,4,10600000,3,0,0,0,0,81,90,0,95,[],[],93,86,72,50,97,85,94,78,68,83,53,40,24,27,34,41,35,40,32,20,32,22,28,21,14,43,40,68,40,64,62,44,81,76,72,45,26,93,41,27,24,32,36,48,74,50,81,83,29,82,75,64,86,32,39,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382026,Roger McCreary,CB,CB,82,1,1313382026,553387717,MEGA,Titans,2026-04-16 20:25:18.752390,False,False,330,False,,False,False,28,10,2,2000,Auburn,3,2,Roger,Roger McCreary,Roger McCreary,4785,71,0,Mobile,0,97,True,False,False,False,21,McCreary,577,1843,22206,82,82,0,2024,12,0,82,190,6,6360000,2860000,3500000,11460000,4,11150000,1,0,0,0,0,82,87,0,99,[],[],91,87,80,50,92,78,89,93,65,85,54,20,35,35,35,35,35,35,36,24,28,36,31,34,39,20,19,68,54,73,63,60,72,60,64,37,32,87,37,29,33,38,58,47,65,53,86,79,38,86,72,62,84,36,42,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382309,Dylan Trent,FS,S,82,1,1313382309,553388240,MEGA,Titans,2026-04-16 20:25:18.754561,False,False,951,False,,False,False,23,21,9,1966,Michigan State,16,2,Dylan,Dylan Trent,Dylan Trent,5344,75,19,PLACEHOLDER,0,97,True,False,False,False,39,Trent,404,3370,2747,82,82,24,2027,11,0,79,214,1,2230000,1400000,2490000,3320000,4,5880000,3,0,0,0,0,79,86,0,99,[],[],92,84,76,50,94,86,89,88,74,79,62,37,38,38,33,25,45,40,27,10,30,21,23,24,34,29,26,58,46,73,59,32,60,50,67,57,55,85,46,38,29,39,47,46,85,63,70,79,47,61,87,80,84,38,46,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
