team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
TEN,Titans,1313382001,Cam Ward,QB,QB,97,3,1313382001,553388785,MEGA,Titans,2026-04-16 20:25:18.759606,False,False,4517,False,,False,False,26,25,5,2002,Miami,1,1,Cam,Cam Ward,Cam Ward,8347,74,42,West Columbia,0,97,True,False,False,False,1,Ward,3790,10768,14778,97,97,24,2025,0,0,97,219,3,9390000,3010000,67790000,86930000,5,8000000,2,0,0,0,0,97,0,0,96,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run & Gun', 'startActivated': False, 'signatureLogoId': 1108, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Many passers use a combination of mobility and aggressiveness to make big plays. When they enter the zone, they have perfect accuracy while throwing on the run.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Make consecutive passes for 5+ yards in air', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Agile Extender', 'startActivated': False, 'signatureLogoId': 1171, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'While in the pocket, passers with this ability are almost guaranteed to evade the first sack attempt by a blitzing defensive back.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'No-Look Deadeye', 'startActivated': False, 'signatureLogoId': 1158, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all cross-body throws up to 20 yards (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lofting Deadeye', 'startActivated': False, 'signatureLogoId': 1153, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all lob or touch passes (except high/low and cross-body throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Set Feet Lead', 'startActivated': False, 'signatureLogoId': 1192, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have increased throw power on bullet precision passes made while their feet are set (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Protected', 'startActivated': False, 'signatureLogoId': 1173, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better pass blocking from their offensive linemen.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",85,83,91,50,93,80,82,92,66,94,30,32,33,36,26,33,33,32,79,96,97,69,96,95,94,98,97,73,63,45,65,28,62,28,64,41,41,81,25,19,17,35,33,39,34,40,33,32,38,33,24,35,35,28,24,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313381632,Kyren Williams,HB,RB,92,2,1313381632,553388893,MEGA,Titans,2026-04-16 20:25:18.760529,False,False,816,False,,False,False,28,26,8,2000,Notre Dame,21,5,Kyren,Kyren Williams,Kyren Williams,10748,69,24,St. Louis,0,97,True,False,False,False,30,Williams,3805,2036,22051,92,92,0,2024,6,0,86,194,6,10450000,10450000,0,0,4,27090000,1,0,0,0,0,86,86,0,98,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach For It', 'startActivated': False, 'signatureLogoId': 1341, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability will frequently attempt to gain extra yards while being tackled', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Second Wind', 'startActivated': False, 'signatureLogoId': 1344, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have a chance to replenish their stamina, once per play, when it is half depleted', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",90,84,91,50,86,78,86,89,80,86,47,45,41,37,59,38,32,47,28,27,33,14,38,34,44,29,26,93,95,69,95,60,91,79,80,93,97,86,60,55,63,69,59,10,36,36,22,27,10,22,45,42,30,15,19,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382006,Chimere Dike,WR,WR,91,3,1313382006,553386644,MEGA,Titans,2026-04-16 20:25:18.746957,False,False,1241,False,,False,False,26,14,12,2001,Florida,1,4,Chimere,Chimere Dike,Chimere Dike,4239,73,48,Waukesha,0,97,True,False,False,False,17,Dike,1148,10535,15071,91,91,0,2025,0,0,86,196,3,1350000,1140000,210000,840000,4,3910000,1,0,0,0,0,86,91,0,80,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Security', 'startActivated': False, 'signatureLogoId': 1185, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""A surehanded receiver is a quarterback's best friend. When they enter the zone, this ability increases their success rate (and decreases knockout chance) on possession catches."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Catch consecutive targets', 'signatureDeactivationDescription': 'Consecutive passes not targeted'}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Deep In Elite', 'startActivated': False, 'signatureLogoId': 1317, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes 20+ yards from the LoS, inside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Runoff Elite', 'startActivated': False, 'signatureLogoId': 1392, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will distract defenders for longer with their runoffs', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Short Out Elite', 'startActivated': False, 'signatureLogoId': 1346, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Receivers with this ability catch more consistently while catching passes less than 10 yards from the LoS, outside the numbers', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",94,88,85,50,85,92,95,86,65,81,50,34,15,24,26,29,30,54,29,14,10,15,21,8,11,35,21,88,72,91,77,94,83,77,71,45,39,88,92,94,92,83,96,31,40,38,53,39,31,26,43,49,47,18,20,0,3,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313381313,Jameson Williams,WR,WR,89,1,1313381313,553388885,MEGA,Titans,2026-04-16 20:25:18.760085,False,False,585,False,,False,False,27,26,3,2001,Alabama,12,1,Jameson,Jameson Williams,Jameson Williams,5738,74,24,St. Louis,0,97,True,False,False,False,88,Williams,431,2033,22375,89,89,0,2024,6,0,89,189,6,35000000,18000000,17000000,34000000,2,34000000,1,0,0,0,0,89,92,0,80,[],[],96,95,85,50,91,82,98,81,63,86,42,23,22,19,25,26,21,42,21,6,10,30,15,17,31,18,13,96,77,89,73,83,88,82,79,52,44,94,78,91,93,79,90,10,22,25,15,16,10,14,33,26,22,17,18,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382014,Tony Pollard,HB,RB,87,1,1313382014,553388118,MEGA,Titans,2026-04-16 20:25:18.754295,False,False,339,False,,False,False,31,30,4,1997,Memphis,26,4,Tony,Tony Pollard,Tony Pollard,1673,72,41,Memphis,0,97,True,False,False,False,20,Pollard,3869,9600,20473,87,87,0,2021,3,0,87,209,9,8320000,3120000,5200000,10400000,2,5800000,1,0,0,0,0,87,90,0,96,[],[],95,82,86,50,87,85,93,85,69,84,34,30,32,31,63,29,24,32,26,12,15,33,21,14,25,12,10,92,85,74,93,62,89,87,89,71,73,84,64,62,63,67,61,15,30,30,40,29,12,24,42,38,36,10,14,0,1,0,0,0,0,,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313381999,JC Latham,LT,OL,86,1,1313381999,553387534,MEGA,Titans,2026-04-16 20:25:18.750583,False,False,647,False,,False,False,25,8,2,2003,Alabama,7,1,JC,JC Latham,JC Latham,9080,78,48,Oak Creek,0,97,True,False,False,False,55,Latham,1528,10149,14697,86,86,24,2023,0,0,86,335,4,19590000,8090000,57500000,61440000,6,56840000,5,0,0,0,0,86,90,0,99,[],[],64,60,81,50,96,68,63,84,94,91,94,91,89,89,93,90,80,86,18,6,9,30,11,6,21,5,7,15,15,24,33,19,10,10,10,45,41,50,19,10,14,15,27,32,51,49,9,26,47,10,31,40,10,17,21,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382029,Peter Skoronski,LG,OL,86,2,1313382029,553388410,MEGA,Titans,2026-04-16 20:25:18.755271,False,False,508,False,,False,False,27,31,7,2001,Northwestern,11,1,Peter,Peter Skoronski,Peter Skoronski,2899,76,12,Park Ridge,0,97,True,False,False,False,77,Skoronski,1433,2395,22698,86,86,24,2022,6,0,86,313,5,13540000,6540000,21000000,30820000,5,31430000,3,0,0,0,0,86,87,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Lifeguard', 'startActivated': False, 'signatureLogoId': 1330, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against swim/club pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Natural Talent', 'startActivated': False, 'signatureLogoId': 1337, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability start every new blocking encounter with built-in resistance', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Omniscient', 'startActivated': False, 'signatureLogoId': 1937, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability can detect user-controlled defenders before the snap; as well as 3rd and 4th down blitzers. Can be bluffed.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",80,58,89,50,94,83,67,88,88,87,92,84,90,79,91,84,81,89,15,8,8,24,8,6,25,7,7,24,25,36,29,22,19,10,15,26,27,59,18,5,10,14,15,16,22,22,10,26,24,10,30,25,9,30,32,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313380776,Brandon Coleman,LG,OL,84,1,1313380776,553386481,MEGA,Titans,2026-04-16 20:25:18.745798,False,False,300,False,,False,False,27,12,10,2000,TCU,3,3,Brandon,Brandon Coleman,Brandon Coleman,3890,77,42,Denton,0,97,True,False,False,False,58,Coleman,586,10037,14730,84,84,0,2023,0,0,77,313,4,18000000,10000000,8000000,8000000,1,10000000,1,0,0,0,0,77,84,0,99,[],[],77,71,84,50,91,82,73,84,85,82,87,87,76,89,87,78,85,84,12,7,10,16,11,5,23,7,5,34,28,26,27,22,20,10,15,37,35,60,19,7,11,12,26,31,42,35,10,21,35,9,41,27,10,11,17,0,1,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313381547,DJ Glaze,RG,OL,82,1,1313381547,553386924,MEGA,Titans,2026-04-16 20:25:18.748516,False,False,271,False,,False,False,26,4,8,2002,Maryland,13,3,DJ,DJ Glaze,DJ Glaze,5762,76,32,Charlotte,0,97,True,False,False,False,59,Glaze,525,10083,14731,82,82,0,2023,0,0,74,315,4,16100000,6600000,9500000,9500000,1,6600000,1,0,0,0,0,74,86,0,99,[],[],73,56,83,50,90,65,65,86,89,85,87,90,72,86,85,75,81,82,11,6,7,30,9,5,27,5,9,31,32,29,31,22,24,10,23,44,39,51,15,11,12,13,21,10,38,32,10,15,10,10,29,33,15,10,12,0,1,0,0,0,0,,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
TEN,Titans,1313382027,Chigoziem Okonkwo,TE,TE,81,1,1313382027,553387980,MEGA,Titans,2026-04-16 20:25:18.753368,False,False,304,False,,False,False,28,8,9,1999,Maryland,38,4,Chigoziem,Chigoziem Okonkwo,Chigoziem Okonkwo,1961,75,9,Powder Springs,0,97,True,False,False,False,85,Okonkwo,284,1869,22347,81,81,24,2024,3,0,79,238,6,5220000,2220000,6000000,12120000,5,11810000,2,0,0,0,0,79,77,0,89,[],[],91,77,74,50,85,85,88,81,67,78,58,53,60,56,61,62,61,62,12,6,10,29,15,9,20,6,6,77,70,91,73,85,72,35,65,71,72,72,74,67,75,72,82,10,35,29,12,23,10,15,33,30,15,18,21,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
