team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
WAS,Commanders,1313380895,Minkah Fitzpatrick,FS,S,93,1,1313380895,553386809,MEGA,Commanders,2026-04-16 20:25:07.444082,False,False,705,False,,False,False,31,17,11,1996,Alabama,11,1,Minkah,Minkah Fitzpatrick,Minkah Fitzpatrick,46869,73,29,New Brunswick,0,97,True,False,False,False,24,Fitzpatrick,9490,8887,13084,93,93,24,2020,11,0,93,207,10,21450000,4950000,49500000,66000000,5,37600000,3,0,0,0,0,93,87,0,98,[],[],92,91,91,50,94,90,91,93,64,88,63,18,35,35,35,35,35,35,18,6,6,19,6,6,15,16,6,81,58,79,66,59,79,68,69,55,47,86,29,18,23,28,62,50,85,60,82,93,38,77,88,78,94,13,15,0,1,0,0,0,0,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380809,Nik Bonitto,REDGE,DE,90,2,1313380809,553386229,MEGA,Commanders,2026-04-16 20:25:07.441045,False,False,710,False,,False,False,28,26,9,1999,Oklahoma,32,2,Nik,Nik Bonitto,Nik Bonitto,1209,75,8,Fort Lauderdale,0,97,True,False,False,False,91,Bonitto,783,1181,22142,90,90,24,2024,12,0,85,240,6,18460000,9460000,18000000,36000000,5,41350000,2,0,0,0,0,85,87,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Recuperation', 'startActivated': False, 'signatureLogoId': 1384, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability will recover from the effects of Wear and Tear and fatigue at an increased rate between plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Max Effort', 'startActivated': False, 'signatureLogoId': 1348, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend stamina on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Persistent', 'startActivated': False, 'signatureLogoId': 1399, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability are harder to knock out of The Zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,82,92,50,90,85,88,72,82,74,70,21,45,45,45,45,45,45,41,25,30,19,32,35,39,28,26,44,26,60,49,37,44,10,45,32,32,75,14,5,5,10,39,94,84,91,38,89,82,34,92,82,52,12,14,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380783,Trey Amos,CB,CB,89,1,1313380783,553386045,MEGA,Commanders,2026-04-16 20:25:07.438732,False,False,909,False,,False,False,26,3,3,2002,Ole Miss,29,2,Trey,Trey Amos,Trey Amos,7864,73,17,New Iberia,0,97,True,False,False,False,23,Amos,374,10477,15287,89,89,0,2025,0,0,89,195,3,1960000,1590000,370000,1480000,4,4680000,1,0,0,0,0,89,88,0,97,[],[],93,83,84,50,89,86,91,89,64,87,55,24,35,25,35,35,25,35,47,42,45,30,49,50,49,42,42,76,56,73,61,60,74,45,68,50,39,82,36,32,34,37,67,27,50,51,85,93,30,87,76,81,95,26,26,0,1,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380777,Jer'Zhan Newton,DT,DT,88,1,1313380777,553387925,MEGA,Commanders,2026-04-16 20:25:07.452553,False,False,635,False,,False,False,26,31,8,2002,Illinois,4,2,Jer'Zhan,Jer'Zhan Newton,JerZhan Newton,2244,74,8,St. Petersburg,0,97,True,False,False,False,95,Newton,94,10193,14751,88,88,24,2023,0,0,80,304,4,22230000,10730000,34500000,35460000,4,38250000,3,0,0,0,0,80,82,0,94,[],[],82,74,84,50,90,80,78,86,85,90,85,20,45,45,45,45,45,45,21,5,5,35,5,5,29,10,5,10,21,35,40,10,10,12,10,10,10,67,12,10,10,10,12,75,90,92,12,88,70,10,85,94,22,18,26,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1388353681,Trey Cruz,DT,DT,87,2,1388353681,553387466,MEGA,Commanders,2026-04-16 20:25:07.448278,False,False,1266,False,,False,False,24,9,14,1957,Auburn,20,3,Trey,Trey Cruz,Trey Cruz,8972,74,16,PLACEHOLDER,0,97,True,False,False,False,53,Cruz,305,10327,2139,87,87,24,2026,13,0,79,360,2,1610000,1300000,620000,1240000,4,5120000,2,0,0,0,0,79,85,0,90,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Adrenaline Rush', 'startActivated': False, 'signatureLogoId': 1311, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Pass rushers with this ability will heal some of their fatigue after sacking the QB', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unfakeable', 'startActivated': False, 'signatureLogoId': 1205, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are rarely faked out by ballcarrier moves (and cannot be faked out when user-controlled).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Run Stopper', 'startActivated': False, 'signatureLogoId': 1188, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability do not need to spend a point on shed attempts during a run play', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,69,81,50,97,73,72,76,91,79,83,32,42,31,28,25,26,36,46,11,27,23,15,32,35,40,28,35,36,48,53,33,40,27,42,35,36,58,42,41,40,24,33,66,87,88,28,86,69,35,84,92,34,25,46,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313381752,Danny Stutsman,SAM,LB,85,1,1313381752,553388541,MEGA,Commanders,2026-04-16 20:25:07.457963,False,False,670,False,,False,False,25,10,3,2003,Oklahoma,10,4,Danny,Danny Stutsman,Danny Stutsman,2464,75,8,Windermere,0,97,True,False,False,False,54,Stutsman,141,10745,15248,85,85,0,2025,0,0,85,233,3,1140000,1140000,0,0,4,3830000,1,0,0,0,0,85,84,0,99,[],[],90,79,83,50,87,79,87,88,74,87,73,25,45,45,45,45,45,45,25,6,6,30,6,6,23,11,6,53,41,67,63,59,57,10,51,47,45,77,34,29,32,35,61,59,80,75,73,90,56,45,88,91,80,20,23,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380286,Terrel Bernard,MIKE,LB,83,2,1313380286,553386191,MEGA,Commanders,2026-04-16 20:25:07.439944,False,False,337,False,,False,False,29,7,5,1999,Baylor,25,3,Terrel,Terrel Bernard,Terrel Bernard,8407,73,42,La Porte,0,97,True,False,False,False,50,Bernard,1715,1173,22192,83,83,24,2024,20,0,81,224,6,9980000,5780000,8400000,12600000,4,23150000,2,0,0,0,0,81,82,0,95,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tip Drill', 'startActivated': False, 'signatureLogoId': 1212, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Players with this ability have an increased chance to catch passes that have been tipped into the air.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Reach Elite', 'startActivated': False, 'signatureLogoId': 1176, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability can reach out of engaged blocks to tackle or sack nearby ballcarriers.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,83,88,50,86,85,86,89,67,88,74,19,45,45,45,45,45,45,18,15,17,55,22,15,21,12,11,48,33,74,49,45,61,30,51,44,39,79,15,5,5,15,51,62,81,69,64,88,52,40,93,85,78,13,17,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313381285,D.J. Reed Jr,CB,CB,83,1,1313381285,553388185,MEGA,Commanders,2026-04-16 20:25:07.455077,False,False,240,False,,False,False,31,11,11,1996,Kansas State,5,5,D.J.,D.J. Reed Jr,DJ Reed Jr,27828,69,4,Bakersfield,0,97,True,False,False,False,4,Reed Jr,1985,9034,13159,83,83,0,2020,13,0,83,188,10,8000000,3500000,4500000,4500000,1,3500000,1,0,0,0,0,83,87,0,99,[],[],91,87,85,50,88,87,90,95,52,75,47,13,35,35,35,35,35,35,17,5,10,30,15,6,22,12,6,72,61,74,57,65,76,82,70,42,29,89,14,11,15,21,64,37,53,53,80,85,29,88,76,69,85,10,14,0,1,0,0,0,0,,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380782,Kain Medrano,WILL,LB,83,2,1313380782,553387773,MEGA,Commanders,2026-04-16 20:25:07.451336,False,False,445,False,,False,False,27,16,2,2001,UCLA,29,6,Kain,Kain Medrano,Kain Medrano,3594,75,5,Pueblo,0,97,True,False,False,False,56,Medrano,207,10659,15258,83,83,0,2025,0,0,83,222,3,1180000,1140000,40000,160000,4,3830000,1,0,0,0,0,83,85,0,99,[],"[{'locked': False, 'isEmpty': True, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': True, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,87,78,50,89,89,90,87,71,88,70,22,40,40,40,40,40,40,31,18,21,30,24,29,22,18,15,47,39,50,61,43,47,10,44,42,42,80,22,18,21,24,49,52,77,77,70,85,49,45,83,89,82,18,21,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380341,Jonathon Cooper,LEDGE,DE,82,2,1313380341,553386513,MEGA,Commanders,2026-04-16 20:25:07.442200,False,False,244,False,,False,False,30,8,1,1998,Ohio State,11,7,Jonathon,Jonathon Cooper,Jonathon Cooper,17298,76,34,Gahanna,0,97,True,False,False,False,92,Cooper,2261,910,21684,82,82,0,2023,15,0,79,257,7,14500000,7500000,7000000,7000000,1,7500000,1,0,0,0,0,79,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'B.O.G.O.', 'startActivated': False, 'signatureLogoId': 1313, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability are granted a free pass rush move once per play after spending stamina to perform one', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Defensive Rally', 'startActivated': False, 'signatureLogoId': 1322, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Defenders with this ability will repair the fatigue of all defensive linemen on any 3rd or 4th down', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",87,76,87,50,90,80,85,86,79,77,85,24,45,45,45,45,45,45,17,5,6,20,7,6,17,14,6,23,29,44,31,21,31,10,23,36,27,68,12,5,10,15,23,76,80,83,38,90,86,49,88,83,49,17,18,0,2,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
