team_abbrev,team_name,player_id,player_name,position,normalized_pos,ovr,dev,id,rosterId,league,team,last_updated,trade_block,cant_trade,trade_value,isRetired,injury,injury_discord_notified,hide_injury,age,birthDay,birthMonth,birthYear,college,draftPick,draftRound,firstName,fullName,cleanName,experiencePoints,height,homeState,homeTown,injuryLength,injuryType,isActive,isFreeAgent,isOnIR,isOnPracticeSquad,jerseyNum,lastName,legacyScore,portraitId,presentationId,playerBestOvr,playerSchemeOvr,reSignStatus,rookieYear,scheme,skillPoints,teamSchemeOvr,weight,yearsPro,capHit,capReleaseNetSavings,capReleasePenalty,contractBonus,contractLength,contractSalary,contractYearsLeft,desiredBonus,desiredLength,desiredSalary,durabilityGrade,intangibleGrade,physicalGrade,productionGrade,sizeGrade,rosterGoalList,signatureSlotList,accelRating,agilityRating,awareRating,confRating,injuryRating,jumpRating,speedRating,staminaRating,strengthRating,toughRating,impactBlockRating,leadBlockRating,passBlockFinesseRating,passBlockPowerRating,passBlockRating,runBlockFinesseRating,runBlockPowerRating,runBlockRating,breakSackRating,throwAccDeepRating,throwAccMidRating,throwAccRating,throwAccShortRating,throwOnRunRating,throwPowerRating,throwUnderPressureRating,playActionRating,bCVRating,breakTackleRating,catchRating,carryRating,cITRating,jukeMoveRating,kickRetRating,spinMoveRating,stiffArmRating,truckRating,changeOfDirectionRating,releaseRating,routeRunDeepRating,routeRunMedRating,routeRunShortRating,specCatchRating,finesseMovesRating,hitPowerRating,blockShedRating,manCoverRating,playRecRating,powerMovesRating,pressRating,pursuitRating,tackleRating,zoneCoverRating,kickAccRating,kickPowerRating,clutchTrait,devTrait,highMotorTrait,penaltyTrait,predictTrait,qBStyleTrait,forcePassTrait,sensePressureTrait,throwAwayTrait,tightSpiralTrait,coverBallTrait,runStyle,fightForYardsTrait,dropOpenPassTrait,feetInBoundsTrait,hPCatchTrait,playBallTrait,posCatchTrait,yACCatchTrait,bigHitTrait,dLBullRushTrait,dLSpinTrait,dLSwimTrait,lBStyleTrait,stripBallTrait
WAS,Commanders,1313380773,Jayden Daniels,QB,QB,96,3,1313380773,553386563,MEGA,Commanders,2026-04-16 20:25:07.443337,False,False,3751,False,,False,False,27,18,12,2000,LSU,2,1,Jayden,Jayden Daniels,Jayden Daniels,5068,76,4,San Bernardino,0,97,True,False,False,False,5,Daniels,3287,10048,14579,96,96,24,2023,0,0,96,210,4,50700000,24400000,105200000,111260000,5,122350000,4,0,0,0,0,96,92,0,89,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 0, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Escape Artist', 'startActivated': False, 'signatureLogoId': 1134, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'The slipperiest quarterbacks are capable of exploding out of the pocket at the slightest sign of trouble. When they enter the zone, their scramble speed is increased.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': 'Scramble for 10+ yards', 'signatureDeactivationDescription': ""Don't take sacks""}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 70, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Gutsy Scrambler', 'startActivated': False, 'signatureLogoId': 1218, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have a reduced chance to be impacted by throw penalties caused by defensive pressure while on the run', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Roaming Deadeye', 'startActivated': False, 'signatureLogoId': 1181, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all unpressured throws while their feet are set outside the pocket (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Sideline Deadeye', 'startActivated': False, 'signatureLogoId': 1193, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability have perfect accuracy on all throws outside the numbers (except on high/low throws).', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Fastbreak', 'startActivated': False, 'signatureLogoId': 1135, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Passers with this ability receive better blocking support on designed quarterback run plays.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 90, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Homer', 'startActivated': False, 'signatureLogoId': 1139, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'When playing at home, players with this ability can easily enter the Zone.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",89,90,90,50,94,86,90,91,59,93,15,18,10,10,10,12,12,16,96,93,98,91,99,97,93,93,77,93,75,37,62,19,82,10,74,32,28,88,14,11,13,16,23,10,12,16,15,21,10,10,29,19,14,19,10,0,3,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380789,Terry McLaurin,WR,WR,92,1,1313380789,553387750,MEGA,Commanders,2026-04-16 20:25:07.450587,False,False,308,False,,False,False,32,15,9,1995,Ohio State,12,3,Terry,Terry McLaurin,Terry McLaurin,37222,72,13,Indianapolis,0,97,True,False,False,False,17,McLaurin,4136,9567,20435,92,92,0,2021,6,0,90,210,9,39500000,33500000,6000000,42000000,4,67450000,1,0,0,0,0,90,89,0,75,[],[],89,85,95,50,91,86,94,96,67,95,45,22,11,15,37,18,23,50,22,6,10,68,15,10,32,18,6,89,82,98,76,92,90,40,78,56,50,86,94,93,92,87,94,11,34,41,16,19,11,16,53,41,24,14,16,0,1,0,0,0,0,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380785,Laremy Tunsil,LT,OL,91,2,1313380785,553388699,MEGA,Commanders,2026-04-16 20:25:07.459630,False,False,46,False,,False,False,34,2,8,1994,Ole Miss,13,1,Laremy,Laremy Tunsil,Laremy Tunsil,55163,77,8,Lake City,0,97,True,False,False,False,78,Tunsil,7690,8241,17541,91,91,0,2018,4,0,91,313,12,28700000,9900000,18800000,36800000,2,19400000,1,0,0,0,0,91,89,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Secure Protector', 'startActivated': False, 'signatureLogoId': 1216, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce a rusher's chances of using a quick block shed move."", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Screen Protector', 'startActivated': False, 'signatureLogoId': 1343, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will dominantly win impact blocks on screen plays', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Edge Protector ', 'startActivated': False, 'signatureLogoId': 1230, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': ""Blockers with this ability reduce an edge pass rusher's chances of using a quick block shed move"", 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",68,67,94,50,92,71,72,90,92,89,93,84,91,92,94,84,82,84,12,6,6,22,6,6,22,14,6,18,12,26,31,22,17,9,13,26,32,53,22,6,9,19,20,14,26,27,11,18,18,9,29,35,13,17,20,0,2,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380722,Jonathan Taylor,HB,RB,90,2,1313380722,553388580,MEGA,Commanders,2026-04-16 20:25:07.458854,False,False,602,False,,False,False,29,19,1,1999,Wisconsin,9,2,Jonathan,Jonathan Taylor,Jonathan Taylor,18026,70,29,Salem,0,97,True,False,False,False,8,Taylor,7521,604,20928,90,90,0,2022,4,0,81,226,8,11310000,4810000,6500000,13000000,2,9000000,1,0,0,0,0,81,89,0,81,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Arm Bar', 'startActivated': False, 'signatureLogoId': 1118, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have more powerful stiff arm animations and have a larger timing window for landing perfect stiff arms.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Juke Box', 'startActivated': False, 'signatureLogoId': 1150, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Ballcarriers with this ability have steerable juke animations.', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Goal Line Back', 'startActivated': False, 'signatureLogoId': 1394, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Running Backs with this ability receive improved blocking from their O-Line within 5 yards of the end zone', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",92,86,96,50,90,85,92,96,82,92,37,32,24,29,51,24,27,34,28,15,20,26,25,17,29,15,14,92,91,76,90,60,89,45,85,90,89,86,54,48,56,64,56,10,25,25,12,13,10,14,33,27,19,15,17,0,2,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380781,Josh Conerly Jr.,RT,OL,89,2,1313380781,553386492,MEGA,Commanders,2026-04-16 20:25:07.441838,False,False,1447,False,,False,False,24,5,11,2003,Oregon,29,1,Josh,Josh Conerly Jr.,Josh Conerly Jr,7313,77,46,Seattle,0,97,True,False,False,False,72,Conerly Jr.,685,10523,15163,89,89,0,2025,0,0,80,311,3,3900000,2420000,1480000,5920000,4,6330000,1,0,0,0,0,80,83,0,99,[],"[{'locked': False, 'isEmpty': False, 'ovrThreshold': 75, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Screen Protector', 'startActivated': False, 'signatureLogoId': 1343, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability will dominantly win impact blocks on screen plays', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 80, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Unspun', 'startActivated': False, 'signatureLogoId': 1356, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability defend against spin pass rush moves as if they had an additional resistance point', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': False, 'isEmpty': False, 'ovrThreshold': 85, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': 'Tough Nut', 'startActivated': False, 'signatureLogoId': 1354, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': 'Blockers with this ability have an increased number of blocker resistance points', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}, {'locked': True, 'isEmpty': False, 'ovrThreshold': 95, 'signatureAbility': {'rank': 'ABILITY_BRONZE', 'isPassive': False, 'isUnlocked': False, 'abilityGUID': '', 'activationId': '', 'deactivationId': '', 'signatureTitle': '', 'startActivated': False, 'signatureLogoId': 0, 'activationEnabled': False, 'unlockRequirement': '', 'deactivationEnabled': False, 'signatureDescription': '', 'marketplaceAbilityAlias': '', 'signatureActivationDescription': '', 'signatureDeactivationDescription': ''}}]",80,70,88,50,89,83,71,87,82,88,90,88,95,81,97,91,78,93,11,6,6,37,6,11,21,30,6,24,15,30,31,18,10,10,10,27,26,59,17,10,11,16,17,26,28,35,13,22,24,24,28,26,15,17,26,0,2,0,0,0,0,,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380796,Sam Cosmi,RG,OL,88,1,1313380796,553386520,MEGA,Commanders,2026-04-16 20:25:07.442600,False,False,371,False,,False,False,29,16,2,1999,Texas,19,2,Sam,Sam Cosmi,Sam Cosmi,26696,78,42,Humble,0,97,True,False,False,False,76,Cosmi,2078,824,21533,88,88,0,2023,6,0,82,309,7,20100000,16100000,4000000,27160000,5,49600000,1,0,0,0,0,82,86,0,99,[],[],81,72,90,50,88,74,77,90,87,84,86,95,84,81,86,93,89,92,12,6,6,21,6,6,22,15,6,19,9,54,52,55,11,9,12,18,22,57,39,10,12,38,50,19,33,21,11,25,20,10,31,35,14,19,18,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313381677,Mark Andrews,TE,TE,86,1,1313381677,553386063,MEGA,Commanders,2026-04-16 20:25:07.439196,False,False,135,False,,False,False,32,6,9,1995,Oklahoma,22,3,Mark,Mark Andrews,Mark Andrews,55827,77,2,Scottsdale,0,97,True,False,False,False,88,Andrews,11130,8802,13112,86,86,0,2020,4,0,84,247,10,17930000,6930000,11000000,33000000,3,18000000,1,0,0,0,0,84,80,0,97,[],[],88,75,87,50,88,92,86,94,81,89,67,49,54,50,54,66,63,68,16,5,10,52,15,10,25,15,5,81,71,87,73,85,80,10,68,79,71,75,83,75,76,80,88,10,25,28,12,15,10,10,32,27,15,10,12,0,1,0,0,0,0,,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380780,Jaylin Lane,WR,WR,86,0,1313380780,553387531,MEGA,Commanders,2026-04-16 20:25:07.448647,False,False,553,False,,False,False,26,1,5,2002,Virginia Tech,26,4,Jaylin,Jaylin Lane,Jaylin Lane,8402,70,39,Clover,0,97,True,False,False,False,83,Lane,136,10633,15068,86,86,0,2025,0,0,86,191,3,1030000,1010000,20000,80000,4,3300000,1,0,0,0,0,86,92,0,95,[],[],93,92,81,50,86,90,96,88,58,81,38,24,11,20,22,23,22,46,28,33,41,27,44,39,60,32,33,90,81,93,80,91,85,82,74,60,58,90,89,82,86,86,88,28,32,36,34,28,27,25,31,34,37,20,24,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313380793,Tyler Biadasz,C,OL,84,1,1313380793,553386196,MEGA,Commanders,2026-04-16 20:25:07.440315,False,False,300,False,,False,False,30,20,11,1997,Wisconsin,40,4,Tyler,Tyler Biadasz,Tyler Biadasz,10232,75,48,Amherst,0,97,True,False,False,False,63,Biadasz,681,94,20979,84,84,24,2022,2,0,81,316,8,9370000,4270000,10200000,18000000,4,20950000,2,0,0,0,0,81,84,0,80,[],[],66,64,89,50,88,72,75,95,85,93,90,86,84,80,86,89,83,87,12,6,6,22,6,6,21,11,6,17,9,23,28,13,14,8,10,18,28,56,15,5,6,16,15,20,47,36,12,29,24,10,34,37,14,43,48,0,1,0,0,0,0,,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
WAS,Commanders,1313382640,Roderick Burns,LG,OL,82,1,1313382640,553387914,MEGA,Commanders,2026-04-16 20:25:07.452123,False,False,961,False,,False,False,23,17,9,1972,Texas Tech,11,3,Roderick,Roderick Burns,Roderick Burns,49,77,9,PLACEHOLDER,0,97,True,False,False,False,69,Burns,40,10350,2726,82,82,24,2027,3,0,82,319,1,1600000,1250000,1050000,1400000,4,5160000,3,0,0,0,0,82,79,0,99,[],[],72,72,83,50,93,68,67,98,79,84,82,81,80,91,88,67,81,90,31,32,17,30,14,36,12,26,31,48,46,37,55,36,25,38,33,44,39,59,41,28,37,39,38,42,46,32,37,48,48,26,44,26,44,48,45,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
